2025-11-17T15:20:33: INFO:     127.0.0.1:50102 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
2025-11-17T15:20:33: INFO:     127.0.0.1:50103 - "GET /api/v2/analytics/contracts HTTP/1.1" 200 OK
2025-11-17T15:20:33: INFO:     127.0.0.1:50100 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:20:33: INFO:     127.0.0.1:50105 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
2025-11-17T15:20:33: INFO:     127.0.0.1:50104 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:20:33: INFO:     127.0.0.1:50101 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
2025-11-17T15:20:33: INFO:     127.0.0.1:50102 - "GET /api/v2/analytics/contracts HTTP/1.1" 200 OK
2025-11-17T15:21:05: INFO:     127.0.0.1:50110 - "GET /api/v2/calendar/events HTTP/1.1" 500 Internal Server Error
2025-11-17T15:22:41: INFO:     127.0.0.1:50127 - "GET /api/v2/calendar/events HTTP/1.1" 200 OK
2025-11-17T15:22:51: INFO:     127.0.0.1:50130 - "GET /api/v2/calendar/reports?limit=5 HTTP/1.1" 200 OK
2025-11-17T15:22:53: INFO:     127.0.0.1:50132 - "GET /api/v2/calendar/upcoming?days=7 HTTP/1.1" 200 OK
2025-11-17T15:26:32: INFO:     127.0.0.1:50168 - "GET /api/v2/calendar/events HTTP/1.1" 200 OK
2025-11-17T15:35:09: INFO:     127.0.0.1:50214 - "GET /api/v2/calendar/reports HTTP/1.1" 200 OK
2025-11-17T15:46:48: INFO:     127.0.0.1:50323 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:46:48: INFO:     127.0.0.1:50324 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:46:51: INFO:     127.0.0.1:50324 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
2025-11-17T15:46:51: INFO:     127.0.0.1:50323 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:46:51: INFO:     127.0.0.1:50325 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
2025-11-17T15:46:51: INFO:     127.0.0.1:50326 - "GET /api/v2/analytics/contracts HTTP/1.1" 200 OK
2025-11-17T15:46:51: INFO:     127.0.0.1:50328 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
2025-11-17T15:46:51: INFO:     127.0.0.1:50327 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:46:51: INFO:     127.0.0.1:50324 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
2025-11-17T15:46:51: INFO:     127.0.0.1:50329 - "GET /api/v2/analytics/contracts HTTP/1.1" 200 OK
2025-11-17T15:46:52: INFO:     127.0.0.1:50326 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:46:52: INFO:     127.0.0.1:50324 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:46:52: INFO:     127.0.0.1:50325 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:46:52: INFO:     127.0.0.1:50328 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:47:26: INFO:     127.0.0.1:50339 - "GET /api/v2/g2-zones HTTP/1.1" 200 OK
2025-11-17T15:47:26: INFO:     127.0.0.1:50340 - "GET /api/v2/g2-zones/summary HTTP/1.1" 200 OK
2025-11-17T15:47:26: INFO:     127.0.0.1:50341 - "GET /api/v2/g2-zones HTTP/1.1" 200 OK
2025-11-17T15:47:26: INFO:     127.0.0.1:50342 - "GET /api/v2/g2-zones/summary HTTP/1.1" 200 OK
2025-11-17T15:47:28: INFO:     127.0.0.1:50339 - "GET /api/v2/events/performance HTTP/1.1" 200 OK
2025-11-17T15:47:28: INFO:     127.0.0.1:50340 - "GET /api/v2/events/performance HTTP/1.1" 200 OK
2025-11-17T15:47:29: INFO:     127.0.0.1:50341 - "GET /api/v2/leads/status?days=30 HTTP/1.1" 200 OK
2025-11-17T15:47:29: INFO:     127.0.0.1:50342 - "GET /api/v2/leads/metrics?days=30 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:47:29: INFO:     127.0.0.1:50339 - "GET /api/v2/leads/status?days=30 HTTP/1.1" 200 OK
2025-11-17T15:47:29: INFO:     127.0.0.1:50340 - "GET /api/v2/leads/metrics?days=30 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:47:31: INFO:     127.0.0.1:50341 - "GET /api/v2/twg/boards HTTP/1.1" 200 OK
2025-11-17T15:47:31: INFO:     127.0.0.1:50342 - "GET /api/v2/twg/boards HTTP/1.1" 200 OK
2025-11-17T15:47:32: INFO:     127.0.0.1:50339 - "GET /api/v2/leads/status?days=30 HTTP/1.1" 200 OK
2025-11-17T15:47:32: INFO:     127.0.0.1:50340 - "GET /api/v2/leads/metrics?days=30 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:47:32: INFO:     127.0.0.1:50341 - "GET /api/v2/leads/status?days=30 HTTP/1.1" 200 OK
2025-11-17T15:47:32: INFO:     127.0.0.1:50342 - "GET /api/v2/leads/metrics?days=30 HTTP/1.1" 500 Internal Server Error
2025-11-17T15:47:34: INFO:     127.0.0.1:50339 - "GET /api/v2/dod-comparison?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:47:34: INFO:     127.0.0.1:50340 - "GET /api/v2/dod-comparison?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:47:38: INFO:     127.0.0.1:50340 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:47:38: INFO:     127.0.0.1:50344 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:47:38: INFO:     127.0.0.1:50339 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:47:38: INFO:     127.0.0.1:50343 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:57:48: INFO:     127.0.0.1:50434 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:57:48: INFO:     127.0.0.1:50435 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:58:48: INFO:     127.0.0.1:50448 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:58:48: INFO:     127.0.0.1:50450 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:58:48: INFO:     127.0.0.1:50449 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:58:48: INFO:     127.0.0.1:50447 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T16:02:16: INFO:     127.0.0.1:50523 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T16:02:16: INFO:     127.0.0.1:50524 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:41:53: INFO:     127.0.0.1:51480 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:56:43: INFO:     127.0.0.1:51635 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:56:43: INFO:     127.0.0.1:51636 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:56:53: INFO:     127.0.0.1:51641 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T19:56:53: INFO:     127.0.0.1:51642 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T19:57:03: INFO:     127.0.0.1:51676 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025&rsid=3 HTTP/1.1" 200 OK
2025-11-17T19:57:03: INFO:     127.0.0.1:51676 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025&rsid=3j HTTP/1.1" 200 OK
2025-11-17T19:57:03: INFO:     127.0.0.1:51676 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025&rsid=3j3 HTTP/1.1" 200 OK
2025-11-17T19:57:03: INFO:     127.0.0.1:51676 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025&rsid=3j3h HTTP/1.1" 200 OK
2025-11-17T19:57:33: INFO:     127.0.0.1:51685 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T19:57:42: INFO:     127.0.0.1:51688 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T19:57:42: INFO:     127.0.0.1:51689 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
2025-11-17T19:57:42: INFO:     127.0.0.1:51690 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
2025-11-17T19:57:42: INFO:     127.0.0.1:51691 - "GET /api/v2/analytics/contracts HTTP/1.1" 200 OK
2025-11-17T19:57:42: INFO:     127.0.0.1:51693 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
2025-11-17T19:57:42: INFO:     127.0.0.1:51692 - "GET /api/v2/analytics/cbsa?limit=10 HTTP/1.1" 500 Internal Server Error
2025-11-17T19:57:42: INFO:     127.0.0.1:51689 - "GET /api/v2/analytics/segments HTTP/1.1" 200 OK
2025-11-17T19:57:42: INFO:     127.0.0.1:51694 - "GET /api/v2/analytics/contracts HTTP/1.1" 200 OK
2025-11-17T19:57:51: INFO:     127.0.0.1:51697 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T19:57:51: INFO:     127.0.0.1:51698 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T19:57:51: INFO:     127.0.0.1:51700 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T19:57:51: INFO:     127.0.0.1:51699 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T19:58:01: INFO:     127.0.0.1:51710 - "GET /api/v2/dod-comparison?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:58:01: INFO:     127.0.0.1:51711 - "GET /api/v2/dod-comparison?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:58:16: INFO:     127.0.0.1:51713 - "GET /api/v2/dod-comparison?geographic_level=zipcode&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:58:19: INFO:     127.0.0.1:51713 - "GET /api/v2/dod-comparison?geographic_level=national&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:58:21: INFO:     127.0.0.1:51713 - "GET /api/v2/dod-comparison?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:58:32: INFO:     127.0.0.1:51717 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:58:32: INFO:     127.0.0.1:51718 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T19:59:05: INFO:     127.0.0.1:51724 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4&rsid=1 HTTP/1.1" 200 OK
2025-11-17T20:11:10: INFO:     127.0.0.1:51804 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T20:26:18: INFO:     127.0.0.1:51934 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T20:26:18: INFO:     127.0.0.1:51932 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T20:26:18: INFO:     127.0.0.1:51931 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T20:26:18: INFO:     127.0.0.1:51933 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:00:48: INFO:     127.0.0.1:52187 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:24:54: INFO:     127.0.0.1:52290 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:24:54: INFO:     127.0.0.1:52292 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:24:54: INFO:     127.0.0.1:52289 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:24:54: INFO:     127.0.0.1:52291 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:32:25: INFO:     127.0.0.1:52490 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:32:25: INFO:     127.0.0.1:52492 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:32:25: INFO:     127.0.0.1:52491 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:32:25: INFO:     127.0.0.1:52489 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:32:39: INFO:     127.0.0.1:52501 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:32:39: INFO:     127.0.0.1:52502 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:32:39: INFO:     127.0.0.1:52504 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:32:39: INFO:     127.0.0.1:52503 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:37:43: INFO:     127.0.0.1:52623 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:37:43: INFO:     127.0.0.1:52625 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:37:43: INFO:     127.0.0.1:52624 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:37:43: INFO:     127.0.0.1:52622 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:37:50: INFO:     127.0.0.1:52634 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T21:37:50: INFO:     127.0.0.1:52635 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T21:38:20: INFO:     127.0.0.1:52640 - "OPTIONS /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:38:20: INFO:     127.0.0.1:52640 - "POST /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:38:27: INFO:     127.0.0.1:52642 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:38:27: INFO:     127.0.0.1:52645 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:38:27: INFO:     127.0.0.1:52643 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:38:27: INFO:     127.0.0.1:52644 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:38:36: INFO:     127.0.0.1:52648 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:38:36: INFO:     127.0.0.1:52649 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:38:41: INFO:     127.0.0.1:52652 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:38:48: INFO:     127.0.0.1:52654 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:38:48: INFO:     127.0.0.1:52655 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:38:57: INFO:     127.0.0.1:52657 - "OPTIONS /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:38:57: INFO:     127.0.0.1:52657 - "PUT /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:38:57: INFO:     127.0.0.1:52657 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:39:02: INFO:     127.0.0.1:52657 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:39:02: INFO:     127.0.0.1:52658 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:39:02: INFO:     127.0.0.1:52659 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:39:06: INFO:     127.0.0.1:52657 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:39:06: INFO:     127.0.0.1:52658 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:39:16: INFO:     127.0.0.1:52662 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:39:16: INFO:     127.0.0.1:52663 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T21:39:16: INFO:     127.0.0.1:52664 - "GET /api/v2/projects/prj_8c60986f07db HTTP/1.1" 200 OK
2025-11-17T21:41:32: INFO:     127.0.0.1:52675 - "GET /api/v2/export/projects?rsid= HTTP/1.1" 200 OK
2025-11-17T21:42:37: INFO:     127.0.0.1:52691 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T21:42:37: INFO:     127.0.0.1:52692 - "GET /api/v2/projects HTTP/1.1" 200 OK
